No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
547,ESSC,0.00%,0.59%,-6.83%,-34.17%,1.19%,-13.45%,0.27%,0.48%,-,134.31K,0.92,10.27,0.39%,"63,441"
548,ESTE,11.63%,-29.30%,-12.04%,-10.88%,36.52%,17.55%,6.01%,8.86%,2.40,1.83M,0.57,12.88,0.16%,"535,914"
549,ET,7.75%,2.96%,-10.24%,8.76%,12.03%,26.73%,3.42%,3.81%,1.70,23.05M,0.52,10.41,-0.14%,"6,227,776"
550,ETAC,0.13%,0.40%,0.91%,1.52%,2.56%,1.73%,0.10%,0.13%,-,164.09K,0.20,10.01,0.00%,"16,699"
551,ETB,4.49%,15.58%,2.41%,-3.95%,1.04%,-3.39%,3.46%,2.89%,-,60.25K,1.50,16.37,-1.03%,"46,590"
552,ETR,-0.68%,4.11%,-11.43%,-0.77%,8.47%,-2.16%,1.76%,2.38%,2.20,1.14M,0.43,109.42,-0.73%,"250,002"
553,EUM,-1.80%,-0.20%,8.86%,20.89%,22.57%,17.85%,1.30%,1.23%,-,237.48K,0.92,15.03,0.27%,"112,885"
554,EUO,-3.74%,6.82%,11.04%,24.62%,32.81%,23.51%,1.42%,1.07%,-,126.84K,0.74,32.02,0.25%,"48,684"
555,EURN,14.25%,16.35%,6.06%,43.58%,60.36%,49.72%,4.17%,4.23%,1.70,1.75M,1.19,13.24,-0.53%,"1,070,488"
556,EVA,7.72%,2.40%,-29.43%,-14.27%,21.04%,-11.03%,4.27%,4.99%,2.50,482.23K,0.47,64.66,3.21%,"117,685"
557,EVH,10.69%,21.71%,7.54%,28.19%,50.79%,17.49%,6.32%,5.77%,1.40,833.03K,0.29,32.16,-1.08%,"126,275"
558,EVRG,-0.94%,5.96%,-9.17%,-2.25%,0.39%,-6.19%,1.72%,2.20%,2.30,1.20M,0.47,64.14,-0.35%,"286,727"
559,EWBC,5.66%,12.76%,-7.00%,-22.88%,5.23%,-11.30%,2.54%,2.87%,1.70,956.97K,0.39,70.08,0.42%,"193,131"
560,EWV,-2.18%,-4.02%,10.82%,44.78%,31.27%,43.19%,1.88%,2.13%,-,19.84K,1.85,18.58,-1.35%,"18,941"
561,EXC,-1.20%,6.02%,-11.23%,8.97%,35.23%,6.10%,2.19%,2.52%,2.30,6.40M,0.61,43.87,0.38%,"1,994,933"
562,EXEL,3.65%,24.30%,-4.42%,20.53%,33.99%,19.47%,3.26%,4.35%,1.90,2.88M,0.43,22.00,0.73%,"631,201"
563,EXLS,4.09%,9.79%,2.14%,13.29%,38.32%,1.51%,3.00%,3.47%,2.30,227.29K,0.72,140.65,-4.29%,"84,286"
564,EXPO,3.31%,15.47%,-12.38%,-7.57%,2.76%,-19.87%,2.75%,2.75%,2.30,265.77K,0.41,95.00,1.57%,"55,683"
565,EXR,3.07%,7.62%,-18.98%,-15.47%,2.16%,-24.09%,2.52%,2.56%,2.30,713.28K,0.25,173.63,0.88%,"92,281"
566,EXTR,14.59%,23.40%,-9.40%,-25.82%,10.88%,-32.48%,5.83%,4.51%,2.20,1.20M,0.38,10.69,0.85%,"232,214"
567,EYPT,28.98%,30.96%,-16.42%,3.52%,30.96%,-16.01%,16.12%,8.74%,1.80,141.23K,1.43,10.81,5.11%,"104,214"
568,EZPW,4.17%,4.76%,5.05%,21.00%,30.03%,1.63%,3.72%,4.08%,1.00,337.48K,0.48,7.47,-0.27%,"83,332"
569,FAAR,0.06%,-7.09%,-7.30%,11.07%,9.98%,13.05%,0.77%,2.05%,-,48.23K,1.11,32.24,-0.85%,"27,610"
570,FANG,5.55%,-12.82%,-15.22%,-8.14%,62.16%,10.05%,3.59%,5.46%,1.90,3.12M,0.44,118.31,1.52%,"712,866"
571,FBCV,1.39%,5.60%,-7.16%,-8.40%,0.56%,-6.97%,1.39%,1.40%,-,24.11K,0.68,27.33,-0.10%,"8,407"
572,FBIZ,2.02%,-0.81%,-3.79%,4.79%,22.78%,8.84%,2.31%,2.71%,2.00,57.00K,0.24,31.53,-0.69%,"6,992"
573,FBK,1.26%,7.71%,-3.25%,-14.24%,12.94%,-8.17%,2.53%,2.37%,2.30,147.26K,1.21,40.27,0.07%,"91,753"
574,FBP,7.57%,11.85%,9.63%,-12.45%,30.57%,4.14%,3.07%,3.10%,2.00,1.97M,0.52,14.22,-0.91%,"525,096"
575,FC,5.25%,37.62%,14.81%,1.41%,45.18%,8.89%,3.20%,4.24%,1.50,108.62K,0.36,51.10,1.23%,"20,231"
576,FCAX,-0.40%,0.49%,0.20%,1.13%,0.51%,1.13%,0.28%,0.33%,-,108.41K,0.03,9.88,0.10%,"1,540"
577,FCBC,3.64%,8.55%,12.44%,-12.67%,7.71%,-8.83%,2.04%,2.19%,3.00,34.55K,0.28,30.25,-0.72%,"4,914"
578,FCF,2.51%,6.92%,-4.00%,-20.74%,6.92%,-13.55%,2.10%,2.10%,2.40,483.82K,0.49,13.96,0.36%,"121,281"
579,FCG,9.64%,-8.89%,-14.61%,14.59%,70.60%,33.06%,3.68%,4.79%,-,1.85M,0.45,23.11,1.09%,"432,382"
580,FCN,0.33%,14.99%,16.39%,23.85%,38.22%,22.14%,1.46%,2.26%,1.50,272.17K,0.73,186.10,-0.68%,"102,329"
581,FCUV,-0.59%,-7.45%,6.93%,66.29%,347.33%,51.47%,6.57%,10.25%,-,138.48K,0.21,13.50,0.60%,"15,174"
582,FDL,1.60%,2.24%,-7.02%,-3.36%,9.29%,0.25%,1.53%,1.60%,-,1.48M,1.74,35.63,-0.06%,"1,332,588"
583,FDS,1.62%,14.61%,-5.34%,-6.42%,18.53%,-17.77%,2.46%,2.85%,3.00,275.95K,0.27,402.25,0.65%,"38,957"
584,FDUS,2.94%,11.74%,-6.83%,5.89%,15.40%,4.48%,2.80%,2.70%,1.80,114.32K,0.26,18.70,0.75%,"15,488"
585,FE,1.31%,4.32%,-19.86%,-8.83%,1.45%,-8.87%,1.78%,2.25%,2.30,3.79M,0.49,37.91,0.03%,"949,432"
586,FEDU,-11.29%,2896.88%,1495.29%,1734.63%,1296.60%,1642.10%,6.95%,12.03%,3.00,69.57K,0.00,12.12,0.83%,108
587,FEI,6.48%,1.05%,-9.07%,-1.66%,6.93%,6.48%,2.44%,2.98%,-,194.28K,0.12,7.76,0.51%,"11,675"
588,FEN,3.36%,11.74%,-2.20%,0.25%,17.14%,15.70%,2.04%,3.02%,-,61.06K,1.15,16.19,1.23%,"36,173"
589,FENC,2.58%,23.54%,6.84%,41.68%,0.31%,49.09%,6.52%,5.34%,2.00,28.75K,0.62,6.77,3.20%,"9,197"
590,FENY,5.58%,-6.99%,-11.63%,11.75%,53.75%,29.64%,2.90%,3.72%,-,1.88M,0.41,19.85,0.86%,"397,124"
591,FFBW,-0.50%,-1.63%,-0.41%,3.08%,5.89%,2.12%,0.40%,1.48%,-,12.05K,0.00,12.06,0.08%,26
592,FFIC,3.20%,2.00%,3.01%,-15.38%,5.34%,-9.88%,1.68%,2.07%,2.50,107.56K,0.43,21.90,0.00%,"23,742"
593,FGBI,-0.28%,-4.51%,6.00%,17.47%,47.19%,20.41%,1.96%,3.44%,2.30,44.53K,0.08,24.81,1.10%,"1,783"
594,FHI,3.36%,16.36%,8.39%,-11.04%,6.92%,-9.93%,3.15%,2.97%,2.90,826.45K,0.21,33.82,-0.09%,"87,690"
595,FHN,1.43%,5.83%,-4.98%,17.82%,46.24%,34.42%,1.60%,2.10%,2.80,4.55M,0.33,22.28,1.53%,"783,620"
596,FHTX,1.08%,28.41%,12.65%,-15.05%,57.14%,-34.59%,7.32%,7.51%,1.80,146.12K,0.47,15.31,2.34%,"35,581"
597,FIF,4.28%,6.20%,-6.07%,2.27%,12.69%,6.28%,2.92%,3.14%,-,50.74K,0.30,14.43,0.25%,"7,858"
598,FILL,5.14%,-6.73%,-11.50%,3.74%,38.78%,18.16%,2.38%,2.83%,-,76.33K,0.15,21.28,0.95%,"5,881"
599,FINM,0.10%,0.10%,0.20%,1.13%,1.86%,1.02%,0.19%,0.23%,-,128.06K,0.00,9.87,0.10%,100
600,FINMU,0.20%,0.20%,-0.30%,-1.60%,0.20%,-1.30%,0.25%,0.15%,-,12.31K,0.00,9.87,0.00%,0
601,FITB,3.40%,4.27%,-11.26%,-31.28%,0.12%,-20.39%,2.80%,3.01%,2.10,5.36M,1.19,34.35,-0.92%,"3,292,052"
602,FIX,4.79%,17.20%,1.94%,-8.34%,22.79%,-10.19%,2.99%,3.40%,2.20,149.14K,0.19,89.29,0.48%,"14,472"
603,FIZZ,-0.95%,9.43%,6.11%,6.81%,15.00%,6.20%,3.04%,3.40%,4.00,199.28K,0.65,49.37,2.56%,"66,322"
604,FLME,0.10%,0.41%,0.22%,0.82%,1.87%,0.93%,0.16%,0.18%,-,57.97K,0.00,9.84,0.31%,15
605,FLNG,9.50%,17.90%,-10.13%,14.78%,118.17%,21.67%,3.99%,4.97%,-,666.23K,0.69,29.20,2.17%,"238,438"
606,FLO,-1.17%,9.56%,1.01%,-7.33%,10.59%,-1.93%,1.59%,1.86%,2.80,1.53M,0.29,26.97,0.11%,"227,161"
607,FLR,4.73%,-1.04%,-18.50%,7.31%,59.96%,0.16%,3.43%,4.52%,-,1.76M,0.43,24.75,-0.24%,"389,906"
608,FMAO,-3.16%,-13.07%,-11.95%,-3.36%,43.70%,-4.62%,3.15%,4.17%,3.30,84.70K,0.28,30.87,-1.37%,"12,184"
609,FMC,0.25%,-0.11%,-24.44%,-9.03%,0.67%,-5.54%,2.71%,2.86%,2.40,984.56K,0.45,104.64,0.81%,"227,510"
610,FMF,-0.57%,-6.02%,-1.14%,10.81%,5.16%,11.31%,1.26%,1.78%,-,56.25K,1.01,50.31,-0.48%,"29,322"
611,FMNB,1.61%,1.75%,-5.20%,-23.19%,1.61%,-18.38%,1.83%,1.83%,2.20,74.89K,0.37,15.17,0.20%,"14,142"
612,FNB,4.37%,8.32%,-7.06%,-18.08%,5.04%,-5.52%,2.17%,2.39%,2.10,2.41M,0.60,11.52,0.57%,"750,556"
613,FNCB,-1.53%,-6.43%,-13.47%,-14.44%,6.20%,-16.56%,1.20%,2.05%,-,12.16K,0.03,7.71,0.00%,200
614,FNGD,-13.44%,-29.33%,5.97%,31.53%,1.47%,38.98%,9.36%,9.58%,-,800.35K,1.23,49.77,-7.80%,"508,666"
615,FNKO,0.85%,18.05%,37.75%,32.64%,36.08%,25.59%,4.39%,5.51%,2.20,779.91K,1.27,24.57,4.07%,"510,079"
616,FNLC,2.06%,7.21%,3.96%,-10.84%,7.48%,-3.89%,2.03%,2.59%,-,16.82K,0.43,30.68,1.66%,"3,752"
617,FOLD,-1.43%,31.47%,39.09%,4.75%,17.22%,-4.50%,3.96%,5.36%,2.00,3.88M,0.61,10.93,-0.95%,"1,220,487"
618,FORM,10.24%,13.72%,5.08%,-13.08%,14.46%,-14.98%,4.15%,4.30%,1.90,409.50K,0.78,40.29,3.65%,"165,147"
619,FORR,4.19%,9.46%,-15.54%,-16.23%,4.42%,-19.58%,2.78%,3.01%,1.70,44.57K,0.50,47.11,-0.25%,"11,529"
620,FORTY,4.94%,15.28%,3.76%,-13.56%,15.73%,-16.31%,3.75%,2.47%,-,1.78K,0.10,103.64,-0.11%,88
621,FPI,2.56%,-0.28%,-5.08%,15.11%,15.87%,17.32%,1.94%,2.87%,2.60,674.64K,0.26,13.84,-1.28%,"88,936"
622,FPL,5.31%,4.57%,-8.46%,-1.16%,9.78%,8.78%,2.90%,3.11%,-,102.88K,0.23,6.05,1.73%,"12,210"
623,FRBA,2.89%,2.82%,1.21%,-1.25%,8.04%,-1.86%,1.92%,1.73%,2.00,32.96K,0.10,14.25,0.07%,"1,704"
624,FRG,5.55%,-4.51%,-12.55%,-33.49%,1.65%,-35.08%,4.09%,4.87%,1.90,465.90K,0.46,34.41,1.62%,"109,707"
625,FRO,15.57%,11.24%,1.71%,25.83%,22.90%,34.37%,4.27%,4.85%,2.10,2.79M,1.22,9.39,-1.21%,"1,756,534"
626,FRPH,0.18%,6.91%,3.30%,4.80%,4.95%,4.93%,1.82%,2.24%,-,11.98K,0.21,60.48,-0.28%,"1,309"
627,FSK,0.48%,13.23%,-8.81%,-7.06%,0.68%,-0.67%,1.62%,2.22%,2.40,1.53M,0.65,20.89,0.43%,"507,241"
628,FSSI,-0.10%,0.20%,0.51%,1.13%,1.44%,1.34%,0.10%,0.17%,-,52.06K,5.60,9.84,0.00%,"150,162"
629,FSTA,0.80%,5.79%,-7.07%,-6.00%,2.33%,-6.00%,1.17%,1.29%,-,191.39K,0.17,43.74,-0.30%,"16,632"
630,FTA,2.78%,5.36%,-9.45%,-11.07%,0.83%,-8.01%,1.70%,1.65%,-,75.45K,0.54,64.40,0.18%,"21,052"
631,FTGC,2.59%,-10.48%,-13.50%,9.01%,14.05%,13.36%,1.43%,1.68%,-,1.61M,0.69,26.15,0.04%,"572,230"
632,FTLS,0.68%,1.97%,-4.62%,-4.82%,2.30%,-6.52%,1.56%,1.25%,-,56.46K,0.55,48.78,0.02%,"15,865"
633,FTNT,-0.70%,12.24%,-10.42%,-5.29%,15.34%,-17.64%,4.22%,4.07%,2.20,6.57M,0.54,60.24,1.76%,"1,843,347"
634,FTS,-0.09%,2.94%,-7.64%,-0.79%,5.22%,-3.60%,1.70%,1.65%,3.00,730.06K,0.62,46.14,-0.84%,"232,125"
635,FTXH,-0.84%,7.71%,-2.84%,0.97%,1.69%,-2.12%,1.24%,1.40%,-,36.14K,0.46,26.39,-0.36%,"8,558"
636,FTXN,7.40%,-8.34%,-14.65%,5.93%,52.35%,23.20%,3.31%,4.24%,-,398.61K,0.50,24.19,1.00%,"103,345"
637,FULT,2.90%,4.93%,-6.75%,-21.03%,0.77%,-12.29%,2.77%,2.37%,2.80,1.22M,1.07,15.75,5.63%,"675,234"
638,FUN,-3.59%,1.05%,-26.39%,-13.43%,0.25%,-19.54%,3.54%,4.56%,1.90,391.88K,0.99,41.18,2.23%,"199,698"
639,FUNC,-2.31%,-3.78%,-25.29%,-14.35%,6.13%,-7.73%,3.59%,4.29%,2.00,12.58K,0.03,17.31,0.00%,190
640,FUTY,-0.60%,5.99%,-7.87%,-0.53%,6.40%,-3.41%,1.50%,1.84%,-,542.22K,0.44,44.58,-0.36%,"123,441"
641,FWONA,4.59%,4.80%,-8.72%,-2.09%,38.28%,-4.36%,2.67%,2.53%,2.00,168.03K,0.35,57.24,0.86%,"29,961"
642,FWONK,5.04%,4.11%,-9.23%,-1.75%,34.10%,-2.18%,2.94%,2.76%,2.30,1.17M,0.39,62.42,0.91%,"233,091"
643,FWRD,6.33%,9.91%,4.56%,-15.01%,11.69%,-20.93%,2.90%,3.55%,2.10,162.44K,0.39,96.21,0.48%,"32,284"
644,FXG,0.86%,4.94%,-5.67%,-2.33%,11.23%,0.81%,1.18%,1.34%,-,237.18K,0.28,62.31,-0.16%,"33,991"
645,FXN,7.51%,-2.05%,-7.32%,13.58%,55.27%,28.44%,3.11%,3.75%,-,1.70M,0.33,15.49,1.18%,"290,732"
646,FXP,-0.26%,-3.75%,-14.47%,-3.62%,8.45%,-12.58%,2.84%,3.16%,-,43.18K,0.29,35.70,1.26%,"6,376"
647,FXU,0.31%,5.68%,-7.02%,-0.44%,5.79%,-1.60%,1.36%,1.75%,-,183.26K,0.17,32.08,-0.28%,"15,670"
648,FXZ,3.96%,-1.98%,-20.94%,-9.50%,7.96%,-6.66%,2.16%,2.48%,-,364.94K,0.41,58.02,0.00%,"76,339"
649,GAIN,3.07%,15.66%,-9.33%,-7.59%,6.56%,-12.19%,1.82%,2.64%,3.00,135.58K,0.59,14.81,0.30%,"41,418"
650,GASS,6.64%,-24.19%,-1.91%,14.22%,16.51%,21.80%,5.29%,9.15%,1.00,415.22K,0.47,2.59,0.78%,"100,483"
651,GATX,7.45%,4.28%,-16.86%,-3.60%,14.08%,-5.84%,2.97%,3.07%,1.60,196.36K,0.33,97.91,-0.20%,"33,285"
652,GAZ,20.60%,-0.46%,-7.55%,77.86%,87.28%,101.28%,5.43%,7.93%,-,40.94K,0.18,38.35,0.75%,"3,775"
653,GBNY,-1.10%,-4.47%,-5.91%,-4.31%,13.96%,-5.79%,0.13%,0.57%,-,4.21K,0.00,11.23,0.00%,0
654,GBT,0.37%,46.87%,2.79%,20.63%,13.98%,19.47%,5.18%,6.77%,1.90,1.56M,0.30,35.18,0.60%,"238,503"
655,GCBC,-1.60%,3.30%,-3.81%,34.75%,72.54%,35.27%,6.03%,5.63%,-,26.93K,2.17,48.95,-1.53%,"30,116"
656,GCC,3.19%,-12.31%,-15.67%,5.16%,5.40%,8.79%,1.56%,1.87%,-,137.87K,1.76,22.68,0.14%,"125,318"
657,GCO,15.87%,9.47%,-16.39%,-7.15%,8.57%,-9.77%,4.28%,4.10%,2.30,215.94K,0.61,58.34,0.76%,"67,550"
658,GCP,0.41%,2.95%,1.66%,-0.44%,44.82%,0.32%,0.54%,0.67%,3.00,761.31K,0.44,31.70,-0.17%,"171,927"
659,GD,-0.90%,1.32%,-11.97%,0.74%,16.62%,2.98%,2.12%,2.42%,2.10,1.40M,0.31,215.68,0.47%,"226,465"
660,GDMA,-0.41%,-4.36%,-6.66%,-1.69%,1.88%,-1.42%,0.35%,1.15%,-,31.88K,0.82,31.33,-0.17%,"13,544"
661,GEF,6.68%,14.68%,8.28%,7.11%,17.36%,9.84%,2.62%,3.15%,2.60,233.86K,0.74,66.18,-0.20%,"89,462"
662,GEO,7.66%,12.40%,5.67%,-12.45%,6.00%,-11.10%,5.88%,4.50%,2.50,1.44M,0.36,6.90,0.14%,"264,844"
663,GER,7.27%,7.37%,-7.51%,3.55%,19.86%,16.02%,2.31%,3.12%,-,73.28K,0.55,12.01,0.46%,"20,595"
664,GERN,0.00%,54.62%,30.50%,53.33%,44.88%,50.82%,6.20%,7.29%,1.60,2.60M,0.88,1.93,5.00%,"1,172,968"
665,GFF,2.98%,10.57%,57.82%,13.38%,23.26%,1.80%,3.43%,3.68%,1.40,571.12K,0.33,27.03,0.33%,"96,377"
666,GFX,0.20%,0.15%,0.66%,0.77%,1.18%,0.97%,0.05%,0.11%,-,99.84K,0.00,9.88,0.05%,100
667,GII,2.50%,3.09%,-8.57%,-2.74%,4.17%,-1.03%,1.04%,1.19%,-,68.75K,0.20,53.45,-0.45%,"7,123"
668,GIS,-2.04%,11.42%,4.98%,6.39%,22.46%,10.37%,1.45%,1.93%,2.90,3.82M,0.60,73.73,-0.86%,"1,169,897"
669,GL,0.36%,11.12%,-1.34%,-5.16%,10.89%,7.23%,2.03%,2.09%,3.00,535.89K,0.43,99.92,-0.58%,"119,583"
670,GLL,1.68%,17.38%,33.22%,9.99%,6.59%,11.34%,1.70%,1.71%,-,86.92K,0.25,35.47,0.62%,"11,147"
671,GLNG,6.05%,0.67%,-12.85%,59.38%,105.12%,81.11%,4.88%,5.26%,2.00,1.56M,0.57,22.43,-0.04%,"459,019"
672,GLOP,9.86%,-10.88%,3.92%,21.09%,21.62%,30.75%,5.67%,6.67%,2.50,435.65K,0.29,5.45,-2.15%,"65,285"
673,GLP,7.76%,24.02%,-8.37%,-4.15%,6.90%,8.13%,3.05%,4.10%,3.00,113.49K,0.53,25.47,0.28%,"30,738"
674,GLPI,6.12%,16.49%,9.72%,13.78%,11.45%,4.38%,2.31%,2.08%,2.00,1.61M,0.65,50.91,0.24%,"536,348"
675,GMOM,1.29%,-5.51%,-12.54%,-5.54%,2.82%,-2.29%,1.37%,1.46%,-,56.46K,0.26,29.08,-0.23%,"7,708"
676,GMS,2.37%,18.45%,-3.33%,-14.75%,8.44%,-21.81%,2.95%,4.13%,2.00,282.79K,0.81,47.01,0.02%,"117,933"
677,GNAC,0.05%,0.46%,1.08%,0.87%,0.57%,0.97%,0.02%,0.05%,-,75.24K,0.00,9.85,0.00%,0
678,GNE,3.03%,17.22%,41.38%,73.07%,62.65%,64.99%,5.18%,5.62%,3.00,85.08K,0.40,9.32,1.41%,"17,572"
679,GNFT,9.04%,20.94%,1.23%,-16.84%,14.53%,-18.00%,7.77%,6.53%,-,17.33K,3.43,4.26,3.90%,"30,611"
680,GNK,15.50%,-8.02%,-26.84%,13.68%,17.39%,16.88%,4.11%,4.54%,1.80,1.17M,0.58,18.63,-0.36%,"345,539"
681,GNR,2.97%,-7.65%,-21.96%,-11.89%,1.98%,-5.62%,1.95%,2.22%,-,596.03K,0.29,50.95,0.04%,"89,926"
682,GNTY,1.14%,1.45%,5.04%,-3.95%,7.37%,-3.49%,2.67%,1.96%,2.20,19.43K,0.39,36.45,0.50%,"3,904"
683,GNW,6.51%,14.89%,9.95%,-7.26%,24.32%,0.99%,3.30%,3.63%,-,3.45M,0.32,4.04,-1.22%,"575,594"
684,GO,3.62%,11.79%,33.59%,71.09%,27.24%,59.90%,2.46%,2.99%,2.50,1.19M,0.43,45.26,0.09%,"263,969"
685,GOAC,0.15%,0.40%,0.76%,1.27%,2.30%,1.58%,0.09%,0.12%,-,237.21K,0.09,9.99,0.00%,"10,637"
686,GOGL,9.44%,-11.71%,-21.13%,18.13%,17.63%,18.39%,3.12%,4.02%,1.50,4.45M,0.56,10.80,-1.88%,"1,289,492"
687,GOGO,0.52%,-4.40%,-32.25%,18.04%,54.55%,14.12%,3.09%,3.49%,2.40,856.93K,0.31,15.47,0.19%,"137,334"
688,GOSS,66.30%,97.53%,37.50%,1.18%,65.38%,6.01%,15.99%,10.04%,1.80,1.42M,0.76,12.10,0.92%,"553,356"
689,GPC,3.53%,10.51%,8.12%,2.66%,12.86%,1.13%,1.72%,2.02%,2.80,795.68K,0.50,141.52,-0.19%,"205,454"
690,GPI,7.44%,11.63%,8.08%,-3.20%,9.89%,-8.97%,3.85%,4.45%,2.00,183.21K,0.52,171.26,-3.62%,"48,936"
691,GPK,1.31%,8.01%,0.14%,7.18%,22.09%,7.13%,2.46%,2.69%,2.00,2.92M,0.52,20.92,0.12%,"785,447"
692,GPOR,11.33%,-13.42%,-9.93%,8.81%,32.51%,15.94%,3.96%,5.73%,3.00,248.50K,0.18,84.55,1.25%,"23,252"
693,GPP,2.18%,10.95%,-9.18%,-14.39%,8.94%,-10.77%,1.88%,2.88%,3.00,70.76K,0.17,12.80,1.03%,"6,132"
694,GPRE,15.04%,3.76%,6.85%,-0.40%,2.15%,-7.16%,3.95%,6.11%,1.60,1.13M,0.29,32.91,1.98%,"166,557"
695,GPRK,5.49%,-18.98%,-30.23%,-11.78%,4.38%,4.02%,5.48%,5.91%,2.00,273.08K,0.30,12.01,0.87%,"42,520"
696,GRBK,11.01%,36.57%,26.79%,-7.08%,11.32%,-21.20%,4.35%,4.73%,2.40,721.59K,1.61,24.11,0.88%,"599,812"
697,GRES,2.46%,-4.17%,-16.71%,-6.63%,8.18%,-0.42%,1.39%,1.69%,-,14.35K,0.85,30.49,0.16%,"6,301"
698,GRF,-1.90%,-5.93%,-10.41%,-16.01%,3.16%,-10.98%,1.11%,2.21%,-,6.85K,0.00,8.47,0.00%,0
699,GRIN,15.64%,-10.19%,-34.45%,-4.64%,77.88%,-3.22%,6.00%,6.16%,-,380.07K,0.53,17.39,-0.34%,"103,679"
700,GRN,-2.74%,1.12%,4.65%,0.18%,57.49%,3.00%,2.14%,2.19%,-,32.82K,0.77,30.93,-5.12%,"13,076"
701,GRU,1.40%,-19.27%,-22.83%,9.17%,14.58%,7.19%,2.14%,3.25%,-,44.80K,0.00,5.00,-1.38%,55
702,GRVI,5.88%,8.17%,-2.17%,-4.26%,10.84%,11.94%,7.85%,6.14%,2.00,60.01K,0.74,4.79,6.45%,"22,731"
703,GSAQ,0.50%,0.40%,0.40%,1.42%,2.04%,1.48%,0.11%,0.15%,-,39.40K,0.01,10.00,0.10%,300
704,GSBC,2.39%,6.01%,6.48%,2.31%,22.46%,3.24%,1.65%,1.61%,3.00,42.65K,1.65,60.30,-1.42%,"36,234"
705,GSG,4.73%,-11.06%,-7.57%,23.36%,47.91%,32.09%,2.07%,2.47%,-,2.16M,0.26,22.60,0.02%,"290,667"
706,GSK,-4.40%,-3.67%,-12.76%,-10.32%,1.41%,-8.37%,1.78%,1.37%,2.20,5.81M,0.00,41.14,0.00%,0
707,GSL,13.58%,-6.55%,-32.11%,-28.95%,7.81%,-24.05%,4.32%,4.51%,1.50,945.42K,0.55,17.73,1.90%,"269,697"
708,GSM,0.92%,-4.37%,-33.29%,-2.32%,9.84%,-11.92%,7.78%,7.24%,2.00,1.13M,0.21,5.49,0.27%,"123,491"
709,GSP,5.48%,-12.93%,-8.36%,28.40%,60.08%,38.55%,1.80%,3.26%,-,14.25K,0.40,23.14,-0.17%,"2,926"
710,GTE,16.19%,-20.26%,-31.46%,41.86%,100.92%,60.29%,6.78%,8.73%,2.30,8.15M,0.42,1.24,1.64%,"1,746,673"
711,GTLS,-1.91%,-1.84%,-14.88%,16.81%,8.39%,-2.20%,6.14%,5.70%,1.90,428.03K,0.50,159.93,2.53%,"111,364"
712,GUNR,2.41%,-8.82%,-21.03%,-8.07%,7.24%,-2.15%,1.82%,2.15%,-,2.05M,0.63,38.62,-0.05%,"668,928"
713,GUSH,17.20%,-23.18%,-32.84%,12.45%,107.64%,49.47%,7.73%,10.19%,-,1.35M,1.52,135.15,3.02%,"1,062,136"
714,GWW,-1.74%,2.25%,-5.02%,-7.66%,3.65%,-10.09%,2.42%,2.35%,2.60,316.17K,0.30,466.91,0.21%,"48,835"
715,H,6.92%,4.05%,-17.70%,-13.87%,10.25%,-17.21%,2.91%,3.89%,2.50,884.10K,0.39,80.53,1.42%,"177,988"
716,HAAC,0.05%,0.35%,0.41%,1.17%,0.35%,1.38%,0.19%,0.18%,-,137.06K,0.27,9.91,0.05%,"19,118"
717,HAE,-1.76%,8.92%,13.74%,22.55%,8.48%,21.74%,2.28%,3.01%,2.30,474.70K,0.31,64.68,0.17%,"74,785"
718,HAFC,5.74%,10.31%,-1.33%,-11.12%,40.87%,0.30%,2.49%,2.56%,2.30,155.12K,0.33,23.62,-0.55%,"26,715"
719,HAL,3.01%,-11.98%,-29.25%,2.51%,52.17%,28.82%,3.89%,4.75%,2.10,11.82M,1.14,29.27,-0.64%,"6,936,017"
720,HALO,1.23%,16.12%,19.93%,40.78%,20.95%,24.50%,3.90%,3.80%,2.30,1.19M,0.57,50.19,0.26%,"350,293"
721,HAP,2.91%,-5.47%,-21.09%,-9.68%,3.12%,-4.85%,1.56%,1.76%,-,25.83K,0.72,45.04,0.35%,"9,587"
722,HBNC,3.60%,6.64%,-3.98%,-23.31%,12.42%,-14.48%,2.19%,2.44%,1.40,134.63K,0.34,17.75,-0.42%,"23,907"
723,HBT,2.90%,4.56%,-1.04%,-8.21%,9.16%,-3.31%,1.98%,3.08%,2.60,16.79K,0.64,18.00,-0.61%,"5,505"
724,HCAR,0.20%,0.41%,0.31%,0.92%,2.07%,1.02%,0.10%,0.15%,-,60.39K,0.00,9.86,0.00%,20
725,HCC,10.19%,-5.86%,-17.86%,15.79%,94.52%,24.30%,4.83%,5.65%,2.70,986.92K,0.25,30.96,-1.62%,"126,187"
726,HCCI,6.50%,18.98%,1.69%,-7.68%,6.62%,-9.93%,3.63%,3.32%,-,93.81K,0.54,29.13,1.01%,"26,010"
727,HCKT,3.77%,8.78%,-14.55%,0.90%,15.14%,-2.19%,2.42%,2.89%,1.70,146.05K,0.33,20.26,0.90%,"24,644"
728,HDGE,-4.35%,-8.83%,12.69%,18.54%,18.73%,18.49%,2.40%,2.69%,-,189.40K,0.97,28.35,-2.98%,"94,689"
729,HDLB,2.07%,10.20%,-11.84%,-9.25%,3.81%,-7.49%,1.10%,1.69%,-,6.90K,0.03,15.79,0.52%,112
